Metric,Value
ROC-AUC,0.9689627116029286
Average Precision,0.9633064185662451
Macro-F1,0.9068369901270581
Accuracy,0.9070596540769502
Precision,0.8821480406386066
Recall,0.923357387011014
Specificity,0.8929113089350478
False Positive Rate,0.1070886910649522
NPV,0.9306529209621993
Operating Threshold,0.545203447341919
True Negatives,13541.0
False Positives,1624.0
False Negatives,1009.0
True Positives,12156.0
